time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2016-09-12 00:00:00, 2016-09-12T12:40:00.000000000, -28.598, 1023.609, 1.278, 40.597, 98.277, 80.522, 63.911
2016-09-13 00:00:00, 2016-09-13T01:12:00.000000000, -20.474, 1023.622, 1.276, 33.936, 102.856, 80.609, 70.767
2016-09-14 00:00:00, 2016-09-14T03:35:00.000000000, -13.632, 1023.630, 1.277, 29.972, 103.713, 80.681, 74.901
2016-09-15 00:00:00, 2016-10-01T18:54:00.000000000, 1154.457, 1023.368, 1.278, 72.042, 69.627, 81.997, 66.338
2016-11-01 00:00:00, 2016-11-01T05:47:00.000000000, -22.350, 1023.362, 1.278, 74.247, 70.383, 80.389, 66.281
2016-11-02 00:00:00, 2016-11-02T17:53:00.000000000, -24.940, 1023.335, 1.278, 72.685, 74.638, 78.732, 63.247
2016-11-03 00:00:00, 2016-11-03T12:05:00.000000000, 27.269, 1023.336, 1.279, 71.652, 78.678, 80.891, 58.666
2016-11-04 00:00:00, 2016-11-04T18:24:00.000000000, -26.743, 1023.328, 1.279, 70.576, 82.375, 84.187, 52.932
2016-11-05 00:00:00, 2016-11-05T06:20:00.000000000, -24.843, 1023.332, 1.278, 70.387, 80.803, 85.741, 49.936
2016-11-06 00:00:00, 2016-11-06T19:21:00.000000000, -20.593, 1023.335, 1.279, 71.672, 79.529, 85.519, 48.484
2016-11-07 00:00:00, 2016-11-07T19:53:00.000000000, -22.319, 1023.361, 1.279, 73.653, 75.851, 85.847, 49.279
2016-11-08 00:00:00, 2016-11-08T08:45:00.000000000, -20.826, 1023.362, 1.280, 73.098, 72.142, 85.705, 49.735
2016-11-09 00:00:00, 2016-11-09T19:47:00.000000000, -17.619, 1023.368, 1.280, 74.116, 72.606, 81.888, 52.575
2016-11-10 00:00:00, 2016-11-10T21:42:00.000000000, -19.024, 1023.383, 1.280, 75.469, 70.672, 79.018, 55.533
2016-11-11 00:00:00, 2016-11-11T18:00:00.000000000, 18.789, 1023.366, 1.279, 74.940, 68.306, 79.285, 55.530
2016-11-12 00:00:00, 2016-11-12T13:41:00.000000000, -21.290, 1023.364, 1.280, 72.848, 70.728, 80.359, 54.713
2016-11-13 00:00:00, 2016-11-13T07:01:00.000000000, 21.369, 1023.382, 1.279, 70.495, 76.015, 82.843, 56.153
2016-11-14 00:00:00, 2016-11-14T08:11:00.000000000, 22.832, 1023.376, 1.278, 68.234, 77.586, 86.006, 55.801
2016-11-15 00:00:00, 2016-11-15T09:32:00.000000000, 24.423, 1023.386, 1.280, 70.908, 79.286, 86.402, 57.532
2016-11-16 00:00:00, 2016-11-16T17:04:00.000000000, -22.059, 1023.365, 1.279, 70.718, 80.651, 85.182, 58.512
2016-11-17 00:00:00, 2016-11-17T11:47:00.000000000, 24.959, 1023.352, 1.278, 69.597, 83.024, 86.968, 57.931
2016-11-18 00:00:00, 2016-11-18T15:45:00.000000000, -24.628, 1023.327, 1.279, 69.468, 79.815, 86.637, 54.688
2016-11-19 00:00:00, 2016-11-19T17:18:00.000000000, -26.736, 1023.318, 1.278, 69.663, 81.061, 86.554, 53.092
2016-11-20 00:00:00, 2016-11-20T17:56:00.000000000, -25.127, 1023.319, 1.279, 69.985, 83.607, 85.147, 51.069
2016-11-21 00:00:00, 2016-11-21T17:37:00.000000000, -29.649, 1023.303, 1.278, 71.289, 81.843, 81.404, 52.514
2016-11-22 00:00:00, 2016-11-22T19:24:00.000000000, -21.780, 1023.282, 1.279, 73.535, 80.094, 76.492, 51.507
2016-11-23 00:00:00, 2016-11-23T08:00:00.000000000, -22.388, 1023.249, 1.278, 71.812, 81.890, 76.128, 47.399
2016-11-24 00:00:00, 2016-11-24T20:30:00.000000000, -15.855, 1023.242, 1.278, 70.326, 78.919, 78.213, 46.971
2016-11-25 00:00:00, 2016-11-25T20:47:00.000000000, -13.057, 1023.273, 1.278, 67.267, 81.621, 81.404, 51.458
2016-11-26 00:00:00, 2016-11-26T14:09:00.000000000, -14.065, 1023.322, 1.278, 63.715, 89.205, 84.487, 57.232
2016-11-27 00:00:00, 2016-11-27T18:56:00.000000000, 22.110, 1023.350, 1.276, 63.783, 90.247, 85.033, 61.172
2016-11-28 00:00:00, 2016-11-28T10:30:00.000000000, 23.458, 1023.356, 1.278, 64.699, 83.151, 88.616, 62.279
2016-11-29 00:00:00, 2016-11-29T16:58:00.000000000, -27.829, 1023.348, 1.279, 66.327, 74.035, 88.274, 63.671
2016-11-30 00:00:00, 2016-11-30T16:19:00.000000000, -26.812, 1023.344, 1.279, 66.842, 74.467, 88.829, 61.135
2016-12-01 00:00:00, 2016-12-01T10:48:00.000000000, 32.620, 1023.347, 1.279, 68.738, 75.691, 88.468, 59.827
2016-12-02 00:00:00, 2016-12-02T17:55:00.000000000, -31.344, 1023.336, 1.280, 72.150, 75.952, 86.916, 61.166
2016-12-03 00:00:00, 2016-12-03T16:56:00.000000000, -32.706, 1023.339, 1.279, 74.494, 72.308, 85.061, 63.388
2016-12-04 00:00:00, 2016-12-04T16:47:00.000000000, -38.562, 1023.370, 1.280, 75.330, 70.402, 87.859, 66.279
2016-12-05 00:00:00, 2016-12-05T17:39:00.000000000, -34.902, 1023.372, 1.279, 75.961, 74.943, 87.478, 67.269
2016-12-06 00:00:00, 2016-12-06T17:55:00.000000000, -41.714, 1023.380, 1.279, 76.858, 75.028, 85.987, 65.128
2016-12-07 00:00:00, 2016-12-07T18:42:00.000000000, -32.301, 1023.402, 1.280, 76.610, 67.188, 88.938, 65.776
2016-12-08 00:00:00, 2016-12-08T19:53:00.000000000, -30.760, 1023.403, 1.280, 70.855, 58.264, 98.329, 62.620
2016-12-09 00:00:00, 2016-12-09T20:31:00.000000000, -24.818, 1023.408, 1.279, 69.854, 54.935, 100.182, 60.243
2016-12-10 00:00:00, 2016-12-10T21:35:00.000000000, -22.463, 1023.429, 1.281, 71.206, 60.968, 97.756, 64.731
2016-12-11 00:00:00, 2016-12-11T07:50:00.000000000, 22.776, 1023.422, 1.280, 69.054, 61.768, 97.995, 66.134
